399,461,458,393,55,61,115,110,##::HINDI
462,553,553,464,60,66,123,115,##::HINDI
557,585,582,561,67,70,123,121,##::HINDI
588,672,670,583,85,87,133,121,##::HINDI
670,746,745,673,87,91,132,130,##::HINDI
743,781,781,747,83,85,140,139,##::HINDI
43,74,76,43,310,311,379,377,##::ENGLISH
905,982,983,905,423,421,456,459,##::ENGLISH
903,934,936,911,472,468,503,505,##::ENGLISH
932,978,982,940,471,468,504,510,##::ENGLISH
654,775,775,658,193,198,219,216,##::ENGLISH
682,774,771,678,150,155,190,187,##::ENGLISH
447,678,676,449,139,153,186,177,##::ENGLISH
409,446,447,415,139,140,176,174,##::ENGLISH
259,405,407,259,123,135,174,164,##::ENGLISH
259,395,389,264,50,62,110,102,##::HINDI
